Angle1,Angle2,Angle3,Excitation
0,360,340,3.3264
10,170,180,3.3301
10,10,10,3.3444
160,180,360,3.3466
180,200,10,3.3914
170,160,180,3.3978
20,360,200,3.4023
20,20,170,3.423
150,170,190,3.438
140,180,180,3.4459
10,0,180,3.4752
40,160,190,3.4802
150,340,210,3.5195
30,200,20,3.5342
0,330,190,3.5404
140,30,360,3.5448
20,140,200,3.5709
130,180,330,3.5865
0,160,40,3.5911
10,320,340,3.5933
160,220,10,3.5973
180,360,90,3.5976
50,20,340,3.6034
0,210,200,3.6077
180,10,260,3.6092
120,10,350,3.6096
100,10,20,3.6124
120,200,190,3.616
120,350,350,3.6183
110,350,350,3.6333
180,340,80,3.6451
40,170,50,3.6458
20,170,90,3.6666
20,190,280,3.675
180,130,10,3.6776
50,160,150,3.68
170,230,160,3.6836
80,190,200,3.6893
20,320,40,3.6922
0,340,310,3.6961
30,340,110,3.6962
50,20,20,3.7072
180,230,10,3.7091
40,140,0,3.7092
30,340,60,3.7143
150,360,110,3.7147
120,180,320,3.7198
30,310,190,3.7233
160,0,270,3.7265
20,330,70,3.7389
40,10,110,3.7395
120,330,190,3.7461
150,170,80,3.7495
120,360,150,3.7511
170,40,300,3.7563
150,170,90,3.7608
40,220,360,3.7621
90,210,170,3.7632
0,50,350,3.766
160,230,20,3.7713
0,330,240,3.7835
70,340,20,3.7845
130,190,300,3.7898
50,170,60,3.7899
50,340,40,3.7959
0,210,230,3.7966
120,150,200,3.7974
120,150,160,3.8093
140,20,300,3.8095
150,160,100,3.8218
50,350,100,3.8304
30,230,360,3.8344
0,330,120,3.8416
50,150,320,3.8417
20,310,230,3.8576
170,310,230,3.8648
80,40,10,3.8697
130,360,300,3.8735
90,200,320,3.8786
0,310,250,3.897
50,170,90,3.9089
50,150,130,3.9094
140,340,100,3.9189
50,10,90,3.9221
100,210,210,3.9223
10,120,150,3.9301
160,230,280,3.9416
80,0,50,3.9463
30,120,160,3.9474
50,190,270,3.9496
80,310,150,3.9638
120,60,20,3.9751
70,170,300,3.9776
180,110,170,3.9805
60,360,80,3.9883
110,340,310,3.9938
70,300,350,3.9997
140,40,110,4.005
70,40,160,4.0175
40,310,50,4.0203
110,360,90,4.0425
180,120,290,4.0508
140,140,310,4.051
90,10,250,4.052
30,110,220,4.0522
20,230,260,4.0565
80,170,70,4.0617
0,240,30,4.0629
30,120,320,4.0764
50,320,60,4.0775
60,20,280,4.0813
10,100,170,4.0858
0,240,310,4.0908
70,220,140,4.0978
70,60,190,4.1006
70,50,0,4.1037
140,260,170,4.1085
50,60,200,4.1103
10,290,310,4.1206
90,180,100,4.1206
10,110,300,4.1366
150,60,70,4.1495
90,200,110,4.1496
140,320,90,4.1529
80,0,30,4.1564
30,300,90,4.1571
0,270,20,4.1607
20,280,0,4.1676
50,240,20,4.1732
10,280,50,4.1738
50,300,310,4.1751
60,0,30,4.1768
100,30,260,4.1805
90,140,320,4.1836
20,280,150,4.1923
50,290,0,4.1999
140,310,310,4.2051
70,230,0,4.2092
130,100,360,4.2108
10,90,220,4.2144
170,80,80,4.2181
100,160,280,4.223
140,100,350,4.2267
180,270,80,4.2268
110,280,170,4.2285
100,260,330,4.2375
20,70,50,4.2407
10,90,120,4.2412
60,310,110,4.2423
10,270,90,4.244
120,270,360,4.2619
140,240,70,4.2666
120,90,350,4.2694
40,60,140,4.2745
70,140,300,4.2776
70,30,110,4.2842
110,260,320,4.2911
80,150,280,4.2973
160,280,290,4.3059
60,310,100,4.316
120,70,150,4.3211
0,70,50,4.324
140,100,0,4.3296
140,300,130,4.3328
110,320,290,4.3478
100,120,150,4.3561
130,120,140,4.3763
0,280,230,4.3792
120,140,90,4.3905
40,240,70,4.4233
130,70,60,4.4319
110,140,290,4.4404
0,80,70,4.4437
110,240,110,4.4554
90,280,310,4.4599
90,140,290,4.4629
140,270,300,4.4797
140,280,310,4.4828
140,280,220,4.5253
40,80,240,4.5359
120,130,90,4.557
80,100,330,4.5989
80,300,230,4.6323
50,270,50,4.6328
90,230,260,4.6745
50,70,120,4.6769
130,290,270,4.6934
50,70,100,4.701
60,90,250,4.7208
80,300,240,4.7262
80,300,90,4.7369
60,270,50,4.759
60,280,260,4.8079
60,70,120,4.8533
110,290,230,4.8874
90,100,130,4.9456
100,110,80,4.9585
90,100,280,5.278
